resume_text,job_role
"Candidate has experience as a Data Scientist. Skilled in Data Analysis, Excel, Java, Communication, Azure. Education: M.Tech Artificial Intelligence. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Data Scientist. Skilled in Tableau, PyTorch, Excel, Data Analysis, Communication, Python, TensorFlow. Education: M.Tech Artificial Intelligence. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a AI Engineer. Skilled in Machine Learning, TensorFlow, C++, Excel, Git, Scikit-learn, PyTorch, Pandas, Azure, Java. Education: B.Sc Computer Science. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Data Analyst. Skilled in Power BI, Git, Tableau, NumPy, Machine Learning, TensorFlow. Education: B.Tech Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Data Analyst. Skilled in Azure, Excel, Java, TensorFlow, AWS, Communication, Flask, Scikit-learn, Git, Leadership. Education: M.Tech Artificial Intelligence. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Business Analyst. Skilled in Java, Docker, Scikit-learn, Flask, Pandas, SQL. Education: B.Sc Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Machine Learning Engineer. Skilled in Communication, NumPy, Scikit-learn, PyTorch, SQL. Education: B.Sc Computer Science. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Software Engineer. Skilled in Data Analysis, NumPy, Java, Excel, NLP. Education: MCA. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Software Engineer. Skilled in Scikit-learn, Pandas, Communication, Azure, Problem Solving, Git. Education: M.Tech Artificial Intelligence. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Data Scientist. Skilled in Communication, AWS, TensorFlow, Python, NLP, Tableau. Education: M.Tech Artificial Intelligence. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Business Analyst. Skilled in Docker, SQL, Leadership, TensorFlow, Machine Learning, Problem Solving, Excel, Azure, Power BI, C++. Education: B.Sc Computer Science. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Data Scientist. Skilled in Flask, Pandas, Leadership, SQL, Power BI, NLP, Data Analysis, Docker, PyTorch. Education: B.Tech Computer Science. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Machine Learning Engineer. Skilled in Python, AWS, NLP, Flask, PyTorch, C++, Pandas, Tableau, Deep Learning. Education: M.Tech Artificial Intelligence. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Machine Learning Engineer. Skilled in Leadership, AWS, Excel, Docker, Python, C++, NumPy, Power BI, PyTorch. Education: M.Tech Artificial Intelligence. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a AI Engineer. Skilled in TensorFlow, Communication, Power BI, PyTorch, Git. Education: M.Tech Artificial Intelligence. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Data Scientist. Skilled in Deep Learning, Tableau, C++, TensorFlow, Pandas, Communication, NumPy, PyTorch, Scikit-learn. Education: B.Tech Information Technology. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Software Engineer. Skilled in C++, Python, Machine Learning, TensorFlow, SQL, AWS, Power BI. Education: M.Tech Artificial Intelligence. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Machine Learning Engineer. Skilled in NLP, PyTorch, AWS, Communication, SQL, Python, Tableau, Machine Learning. Education: B.Tech Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Business Analyst. Skilled in NLP, TensorFlow, PyTorch, C++, Tableau, Pandas, Leadership. Education: M.Tech Artificial Intelligence. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Data Analyst. Skilled in AWS, SQL, Docker, Deep Learning, NLP, Pandas, Java, TensorFlow, Tableau. Education: MCA. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Data Analyst. Skilled in Data Analysis, Power BI, Python, Deep Learning, Flask, TensorFlow, Machine Learning, Excel, SQL. Education: MCA. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a AI Engineer. Skilled in TensorFlow, Flask, Power BI, Deep Learning, Docker, PyTorch, Git. Education: B.Tech Information Technology. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Software Engineer. Skilled in Communication, Tableau, SQL, Pandas, Flask, NumPy, Java, PyTorch, Git, Data Analysis. Education: B.Sc Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Data Analyst. Skilled in Java, Docker, NumPy, Power BI, Flask, Excel, Git, SQL. Education: B.Tech Computer Science. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Data Analyst. Skilled in Problem Solving, Azure, Pandas, Communication, Data Analysis. Education: M.Tech Artificial Intelligence. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Data Scientist. Skilled in Java, Pandas, Problem Solving, SQL, Data Analysis, Flask, Docker, NLP, Communication, TensorFlow. Education: B.Sc Computer Science. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Machine Learning Engineer. Skilled in NLP, Deep Learning, Python, Scikit-learn, Problem Solving, Pandas, PyTorch, Tableau, Excel. Education: B.Tech Information Technology. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Business Analyst. Skilled in Communication, Data Analysis, Docker, Power BI, C++, Problem Solving. Education: B.Tech Information Technology. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a AI Engineer. Skilled in Docker, Power BI, AWS, Python, PyTorch. Education: M.Tech Artificial Intelligence. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Data Analyst. Skilled in Data Analysis, TensorFlow, Leadership, NumPy, Excel, SQL, Flask. Education: MCA. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Data Scientist. Skilled in Data Analysis, Scikit-learn, C++, Leadership, Problem Solving, Pandas, AWS, TensorFlow, Docker. Education: M.Tech Artificial Intelligence. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Software Engineer. Skilled in Tableau, Pandas, Azure, AWS, TensorFlow, Flask, Python, SQL. Education: B.Tech Information Technology. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a AI Engineer. Skilled in Leadership, NumPy, Azure, Pandas, Excel, AWS, Data Analysis. Education: M.Tech Artificial Intelligence. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Business Analyst. Skilled in Flask, Git, C++, Problem Solving, Communication, NLP, Python, Machine Learning, Power BI, Java. Education: M.Tech Artificial Intelligence. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Software Engineer. Skilled in NumPy, PyTorch, Git, NLP, Leadership, Azure. Education: B.Sc Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Software Engineer. Skilled in PyTorch, C++, Python, NumPy, NLP, Data Analysis, Communication, Problem Solving, SQL. Education: B.Tech Computer Science. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Business Analyst. Skilled in SQL, Machine Learning, Docker, C++, Azure, Leadership, Git, Deep Learning, NLP. Education: MCA. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Business Analyst. Skilled in Azure, SQL, Data Analysis, Communication, Flask, Pandas, NumPy, Java, Leadership. Education: MCA. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Data Scientist. Skilled in TensorFlow, Pandas, PyTorch, Python, NLP, NumPy, Excel, Docker, Problem Solving. Education: M.Tech Artificial Intelligence. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Business Analyst. Skilled in Power BI, Docker, SQL, Leadership, Problem Solving. Education: B.Tech Computer Science. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Data Analyst. Skilled in TensorFlow, Scikit-learn, Python, AWS, NumPy, PyTorch. Education: MCA. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Data Scientist. Skilled in Leadership, TensorFlow, SQL, Pandas, Power BI, NLP, Docker, AWS, Communication, NumPy. Education: B.Sc Computer Science. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Software Engineer. Skilled in Docker, Java, Azure, SQL, Communication, Power BI, Python, NLP, NumPy. Education: M.Tech Artificial Intelligence. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Machine Learning Engineer. Skilled in Data Analysis, Problem Solving, Git, Pandas, Flask. Education: B.Sc Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Data Analyst. Skilled in Data Analysis, NLP, Problem Solving, Deep Learning, NumPy, Machine Learning, TensorFlow. Education: M.Tech Artificial Intelligence. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a AI Engineer. Skilled in TensorFlow, Deep Learning, Communication, Docker, PyTorch, Git, Flask, Problem Solving, Tableau, Azure. Education: B.Tech Computer Science. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Data Analyst. Skilled in Scikit-learn, Flask, Excel, Pandas, Azure, Power BI, C++, Tableau, NumPy, SQL. Education: MCA. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Machine Learning Engineer. Skilled in C++, Problem Solving, PyTorch, Tableau, Docker, Machine Learning. Education: MCA. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Data Scientist. Skilled in Machine Learning, Java, Power BI, Docker, Python, Problem Solving, Git, Deep Learning, SQL, NumPy. Education: MCA. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Software Engineer. Skilled in Scikit-learn, Pandas, Git, AWS, SQL, NLP, PyTorch, Communication, Leadership, Deep Learning. Education: MCA. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Software Engineer. Skilled in NLP, PyTorch, Communication, Machine Learning, SQL, Pandas, Docker, AWS, Excel. Education: M.Tech Artificial Intelligence. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Business Analyst. Skilled in C++, Machine Learning, Tableau, Deep Learning, Python. Education: MCA. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Machine Learning Engineer. Skilled in Power BI, Deep Learning, Pandas, Problem Solving, NLP, PyTorch, Azure, NumPy. Education: MCA. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Software Engineer. Skilled in Data Analysis, Power BI, NumPy, PyTorch, Scikit-learn, Machine Learning, Python, Flask, Communication. Education: MCA. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Software Engineer. Skilled in Excel, TensorFlow, Power BI, Java, Leadership. Education: M.Tech Artificial Intelligence. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Data Analyst. Skilled in Pandas, Machine Learning, Power BI, Communication, Leadership, NLP, Data Analysis, Deep Learning. Education: MCA. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a AI Engineer. Skilled in Python, Git, Communication, Java, Deep Learning, Machine Learning, Problem Solving, TensorFlow. Education: B.Tech Computer Science. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Data Analyst. Skilled in TensorFlow, PyTorch, Tableau, Git, Power BI, NLP, Azure. Education: B.Sc Computer Science. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Data Analyst. Skilled in Docker, Git, Java, Data Analysis, Scikit-learn, Leadership, NLP, Machine Learning. Education: M.Tech Artificial Intelligence. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Software Engineer. Skilled in C++, Docker, Python, AWS, Scikit-learn. Education: MCA. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Business Analyst. Skilled in Java, NumPy, SQL, Problem Solving, Machine Learning, Azure, TensorFlow, NLP, Flask. Education: B.Tech Computer Science. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Machine Learning Engineer. Skilled in SQL, Java, Pandas, Power BI, Azure, TensorFlow. Education: MCA. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Data Analyst. Skilled in Communication, Python, NumPy, Machine Learning, TensorFlow, Data Analysis, Leadership, Docker, C++, Java. Education: B.Tech Information Technology. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Data Scientist. Skilled in AWS, Leadership, Python, Machine Learning, Excel, SQL, Tableau, NumPy. Education: B.Tech Computer Science. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Business Analyst. Skilled in Flask, Power BI, Communication, NumPy, SQL. Education: M.Tech Artificial Intelligence. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Business Analyst
"Candidate has experience as a Data Scientist. Skilled in Java, Azure, Scikit-learn, C++, Docker, Machine Learning. Education: B.Sc Computer Science. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Machine Learning Engineer. Skilled in Excel, Machine Learning, NLP, Pandas, NumPy. Education: M.Tech Artificial Intelligence. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Data Analyst. Skilled in Tableau, C++, Scikit-learn, Leadership, Deep Learning, Git, PyTorch, Excel, AWS, Docker. Education: B.Sc Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Data Analyst. Skilled in Flask, Leadership, NumPy, Power BI, Communication, NLP, Java, SQL, Docker, Problem Solving. Education: B.Tech Information Technology. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a AI Engineer. Skilled in PyTorch, NLP, AWS, Git, C++, Pandas, Excel, Scikit-learn, Java, Deep Learning. Education: B.Sc Computer Science. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a AI Engineer. Skilled in Scikit-learn, Azure, Communication, AWS, Git, Data Analysis. Education: B.Sc Computer Science. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a AI Engineer. Skilled in TensorFlow, Pandas, Azure, NLP, Data Analysis, Tableau, Deep Learning, Java. Education: MCA. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Data Analyst. Skilled in Scikit-learn, C++, Python, Git, Deep Learning, Azure. Education: M.Tech Artificial Intelligence. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a Software Engineer. Skilled in AWS, TensorFlow, Java, NLP, C++, Communication, Flask. Education: B.Sc Computer Science. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Software Engineer
"Candidate has experience as a Machine Learning Engineer. Skilled in Machine Learning, Azure, Pandas, Power BI, PyTorch, SQL. Education: M.Tech Artificial Intelligence. Experience: 5 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a AI Engineer. Skilled in Scikit-learn, Communication, Leadership, AWS, Docker, Pandas. Education: MCA. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Data Scientist. Skilled in Git, Power BI, Communication, Java, PyTorch, Deep Learning, AWS. Education: M.Tech Artificial Intelligence. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Data Scientist
"Candidate has experience as a Data Analyst. Skilled in Pandas, Deep Learning, NumPy, Docker, AWS, Python, Azure, Excel, PyTorch, C++. Education: B.Sc Computer Science. Experience: Fresher. Worked on multiple real-world projects and team collaborations.",Data Analyst
"Candidate has experience as a AI Engineer. Skilled in Azure, Data Analysis, Git, Tableau, Problem Solving, NumPy, C++. Education: B.Sc Computer Science. Experience: 3 years. Worked on multiple real-world projects and team collaborations.",AI Engineer
"Candidate has experience as a Machine Learning Engineer. Skilled in Python, Tableau, Java, Pandas, Docker, Machine Learning, Problem Solving. Education: B.Sc Computer Science. Experience: 2 years. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
"Candidate has experience as a Machine Learning Engineer. Skilled in Flask, Deep Learning, Leadership, Pandas, PyTorch, Machine Learning, Azure, Scikit-learn, Java, TensorFlow. Education: B.Sc Computer Science. Experience: 1 year. Worked on multiple real-world projects and team collaborations.",Machine Learning Engineer
