review,sentiment
This movie was amazing and very enjoyable,positive
I loved the acting and the storyline,positive
The film was fantastic and exciting,positive
What a wonderful experience watching this movie,positive
Absolutely brilliant performance by the actors,positive
The movie was boring and too long,negative
I hated the plot and the ending,negative
Terrible acting and poor direction,negative
The film was disappointing and dull,negative
Worst movie I have watched this year,negative
The songs were beautiful and emotional,positive
I really enjoyed every moment of the movie,positive
The visuals were stunning and attractive,positive
Excellent screenplay and great acting,positive
This film made me very happy,positive
The movie was a complete waste of time,negative
I did not enjoy the movie at all,negative
The storyline was weak and confusing,negative
Bad editing and terrible music,negative
The characters were annoying and boring,negative
An outstanding and inspiring movie,positive
The comedy scenes were very funny,positive
I would definitely watch it again,positive
A masterpiece with excellent direction,positive
Superb movie with emotional scenes,positive
The movie was horrible and irritating,negative
I regret watching this film,negative
The acting was fake and unconvincing,negative
The movie lacked creativity,negative
Very disappointing experience,negative
